column_name,data_type,nullable,default_value,profile,status,used_in_schema,used_in_frontend,notes
cost_tracking_enabled,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
sentiment_analysis_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
transcript_format_phone,VARCHAR,True,text,phone,pending_validation,unknown,unknown,
cost_tracking_enabled_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
sentiment_analysis_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
transcript_format_telnyx,VARCHAR,True,text,telnyx,pending_validation,unknown,unknown,
cost_tracking_enabled_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
log_webhook_url,VARCHAR,True,,browser,pending_validation,unknown,unknown,
pii_redaction_enabled,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
retention_days,INTEGER,True,30,browser,pending_validation,unknown,unknown,
webhook_url_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
webhook_secret_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
log_webhook_url_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
pii_redaction_enabled_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
retention_days_phone,INTEGER,True,30,phone,pending_validation,unknown,unknown,
log_webhook_url_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
pii_redaction_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
retention_days_telnyx,INTEGER,True,30,telnyx,pending_validation,unknown,unknown,
custom_headers,JSON,True,,browser,pending_validation,unknown,unknown,
sub_account_id,VARCHAR,True,,browser,pending_validation,unknown,unknown,
allowed_api_keys,JSON,True,,browser,pending_validation,unknown,unknown,
environment_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
privacy_mode_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
environment_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
